Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.34870000000000001,3.3464,0.14602000000000001,2,2.2999999999999998,2.5,2.6000000000000001,2.7999999999999998,2.8999999999999999,3,3.2999999999999998,3.7000000000000002,3.8999999999999999,4,4.2000000000000002,4.2999999999999998,4.5999999999999996,5.0999999999999996
1,0.22969999999999999,4.4709000000000003,0.13395000000000001,2.8999999999999999,3.2000000000000002,3.3999999999999999,3.6000000000000001,3.7999999999999998,3.8999999999999999,4.0999999999999996,4.5,4.9000000000000004,5.0999999999999996,5.2999999999999998,5.5,5.7000000000000002,6,6.5999999999999996
2,0.19700000000000001,5.5674999999999999,0.12385,3.7000000000000002,4.0999999999999996,4.4000000000000004,4.5,4.7000000000000002,4.9000000000000004,5.0999999999999996,5.5999999999999996,6,6.2999999999999998,6.5,6.7999999999999998,7,7.4000000000000004,8.0999999999999996
3,0.17380000000000001,6.3761999999999999,0.11727,4.4000000000000004,4.7999999999999998,5.0999999999999996,5.2000000000000002,5.5,5.5999999999999996,5.9000000000000004,6.4000000000000004,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,7.9000000000000004,8.3000000000000007,9.0999999999999996
4,0.15529999999999999,7.0023,0.11316,4.9000000000000004,5.4000000000000004,5.5999999999999996,5.7999999999999998,6,6.2000000000000002,6.5,7,7.5999999999999996,7.9000000000000004,8.0999999999999996,8.4000000000000004,8.5999999999999996,9.0999999999999996,9.8000000000000007
5,0.13950000000000001,7.5105000000000004,0.1108,5.2999999999999998,5.7999999999999998,6.0999999999999996,6.2000000000000002,6.5,6.7000000000000002,7,7.5,8.0999999999999996,8.4000000000000004,8.5999999999999996,9,9.1999999999999993,9.6999999999999993,10.5
6,0.12570000000000001,7.9340000000000002,0.10958,5.5999999999999996,6.0999999999999996,6.4000000000000004,6.5999999999999996,6.9000000000000004,7.0999999999999996,7.4000000000000004,7.9000000000000004,8.5,8.9000000000000004,9.0999999999999996,9.5,9.6999999999999993,10.199999999999999,11.1
7,0.1134,8.2970000000000006,0.10902000000000001,5.9000000000000004,6.4000000000000004,6.7000000000000002,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,8.3000000000000007,8.9000000000000004,9.3000000000000007,9.5,9.9000000000000004,10.199999999999999,10.699999999999999,11.5
8,0.1021,8.6151,0.10882,6.0999999999999996,6.7000000000000002,7,7.2000000000000002,7.5,7.7000000000000002,8,8.5999999999999996,9.3000000000000007,9.5999999999999996,9.9000000000000004,10.300000000000001,10.5,11.1,12
9,0.091700000000000004,8.9014000000000006,0.10881,6.2999999999999998,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7000000000000002,7.9000000000000004,8.3000000000000007,8.9000000000000004,9.5999999999999996,10,10.199999999999999,10.6,10.9,11.4,12.4
